File,taskId,value,dateValue,user
knob,26,Document Approved,2014-07-18T00:00:00.000Z,rg:{'_id': '5'}
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
-,-,-,rg:None,#N/A
