File,_id,dateCondition,createdBy,condition,status,inspections
knob,knob-cond0002,2015-03-25T00:00:00.000Z,rg:{'_id': 'CeciliaFBrown@gustr.com'},Annual Salmon studies must be conducted each year to verify sustainability across each 5 year period,approved,rg:{'_id': '2015Salmon'}
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
-,-,rg:None,rg:{'_id': ''},-,-,rg:[]
